name,start_date_local,distance,moving_time,elapsed_time,average_speed,total_elevation_gain,type
Cooked. Like a slowly boiled egg.,2025-04-05T12:28:30Z,11486.5,4166,4189,2.757,20.1,Run
Zwift - Volcano Circuit CCW in Watopia,2025-04-01T19:29:13Z,8380.1,2913,2913,2.877,0.0,VirtualRun
Study: 72 Percent Of High-Fives Unwarranted,2025-03-31T18:04:41Z,6591.0,2279,2285,2.892,53.0,Run
"Don't Feed Me Any More Lines From Monsters, Inc.",2025-03-28T17:50:15Z,5288.9,1891,1959,2.797,48.0,Run
"It's called subtlety, Stu. You should look it up.",2025-03-16T11:39:05Z,19701.0,7177,7204,2.745,167.0,Run
Destiny is the one doing the folding and we're the oregami swans,2025-03-14T17:44:09Z,10066.0,3606,3606,2.791,81.0,Run
Zwift - Two Bridges Loop in Watopia,2025-03-11T06:37:41Z,7953.5,2722,2728,2.922,0.0,VirtualRun
Bad decisions make good stories.,2025-03-09T11:28:04Z,15128.0,5378,5402,2.813,95.0,Run
"Oh boy, sleep! That's where I'm a viking!",2025-03-06T17:56:42Z,7614.0,2714,2726,2.805,51.0,Run
"Miss Hoover, I glued my head to my shoulder.",2025-03-04T12:31:04Z,6440.0,2160,2196,2.981,23.0,Run
