start_date_local,name,type,distance_miles,moving_time_formatted,elapsed_time_formatted,pace_per_mile,total_elevation_gain
05:04:25 12:28:30,Cooked. Like a slowly boiled egg.,Run,7.14,01:09:26,01:09:49,09:43,20.1
01:04:25 19:29:13,Zwift - Volcano Circuit CCW in Watopia,VirtualRun,5.21,00:48:33,00:48:33,09:19,0.0
31:03:25 18:04:41,Study: 72 Percent Of High-Fives Unwarranted,Run,4.1,00:37:59,00:38:05,09:16,53.0
28:03:25 17:50:15,"Don't Feed Me Any More Lines From Monsters, Inc.",Run,3.29,00:31:31,00:32:39,09:35,48.0
16:03:25 11:39:05,"It's called subtlety, Stu. You should look it up.",Run,12.24,01:59:37,02:00:04,09:46,167.0
14:03:25 17:44:09,Destiny is the one doing the folding and we're the oregami swans,Run,6.25,01:00:06,01:00:06,09:36,81.0
11:03:25 06:37:41,Zwift - Two Bridges Loop in Watopia,VirtualRun,4.94,00:45:22,00:45:28,09:10,0.0
09:03:25 11:28:04,Bad decisions make good stories.,Run,9.4,01:29:38,01:30:02,09:32,95.0
06:03:25 17:56:42,"Oh boy, sleep! That's where I'm a viking!",Run,4.73,00:45:14,00:45:26,09:33,51.0
04:03:25 12:31:04,"Miss Hoover, I glued my head to my shoulder.",Run,4.0,00:36:00,00:36:36,08:59,23.0
02:03:25 12:04:45,You don't want to mess with my sister. She'll wear down your self-esteem over a period of years.,Run,8.04,01:15:02,01:15:10,09:20,113.0
01:03:25 11:17:28,"When life gives you lemons, don't make lemonade. Make life take the lemons back! Get mad! I don't want your damn lemons, what the hell am I supposed to do with these? Demand to see life's manager! Make life rue the day it thought it could give you lemons!",Run,4.88,00:44:52,00:45:02,09:11,45.0
26:02:25 13:16:19,Dreadmill Intervals part 2,VirtualRun,3.41,00:27:16,00:27:19,08:00,0.0
26:02:25 12:34:46,Dreadmill Intervals part 1,VirtualRun,4.14,00:34:52,00:37:40,08:24,0.0
24:02:25 16:49:38,They throwing cars at us! How am I not seeing that?!?,Run,3.15,00:29:14,00:30:04,09:15,38.0
23:02:25 15:56:15,Missouri is more cosmopolitan than you give it credit for. It's got a very vibrant cowboy poetry scene.,Run,3.14,00:29:49,00:30:04,09:30,43.0
16:02:25 10:30:22,Wouldst thou like to live deliciously?,Run,10.01,01:23:33,01:24:13,08:20,88.0
12:02:25 18:22:14,Zwift - Mountain Mash in Watopia,VirtualRun,5.39,00:45:15,00:45:15,08:23,0.0
10:02:25 12:07:03,"In my country, it is considered very very bad luck when your house burns down.",Run,6.32,00:59:55,01:00:03,09:28,69.0
